citric acid,sulphates,alcohol,type
0.23,0.44,8,high
0.12,0.46,8.4,high
0.49,0.63,8.4,low
0.38,0.38,8.5,high
0.46,0.76,8.5,high
0.19,0.35,8.6,high
0.54,0.49,8.6,high
0.62,0.49,8.6,high
0.62,0.49,8.6,high
0.07,0.35,8.7,high
0.2,0.54,8.7,high
0.27,0.41,8.8,high
0.27,0.41,8.8,high
0.27,0.41,8.8,high
0.27,0.41,8.8,high
0.27,0.41,8.8,high
0.27,0.41,8.8,high
0.27,0.41,8.8,high
0.27,0.41,8.8,high
0.28,0.47,8.8,high
0.37,0.39,8.8,high
0.44,0.75,8.8,high
0.44,0.75,8.8,high
0.63,0.44,8.8,high
0.08,0.46,8.9,high
0.28,0.54,8.9,high
0.3,0.46,8.9,high
0.3,0.46,8.9,high
0.3,0.46,8.9,high
0.3,0.46,8.9,high
0.3,0.46,8.9,high
0.3,0.46,8.9,high
0.59,0.46,8.9,high
0.03,0.48,9,low
0.08,0.5,9,low
0.14,0.36,9,high
0.2,0.45,9,high
0.2,0.45,9,high
0.25,0.43,9,high
0.3,0.44,9,high
0.3,0.67,9,high
0.33,0.43,9,high
0.35,0.57,9,high
0.46,0.58,9,high
0.49,0.53,9,high
0.49,0.57,9,high
0.66,0.57,9,low
0.2,0.43,9.05,low
0.03,0.33,9.1,low
0.12,0.45,9.1,high
0.2,1.12,9.1,low
0.24,0.32,9.1,high
0.24,0.5,9.1,high
0.27,0.52,9.1,high
0.46,0.74,9.1,high
0,0.34,9.2,high
0.02,1.08,9.2,low
0.09,0.57,9.2,high
0.1,0.47,9.2,high
0.14,0.34,9.2,high
0.14,0.34,9.2,high
0.18,0.71,9.2,high
0.19,0.59,9.2,low
0.26,0.44,9.2,high
0.26,0.49,9.2,high
0.26,0.53,9.2,low
0.44,0.84,9.2,low
0.44,0.84,9.2,low
0.3,0.51,9.3,low
0.37,0.49,9.3,low
0.4,0.46,9.3,high
0.44,0.57,9.3,high
0.47,0.34,9.3,high
0,0.38,9.4,high
0.04,0.6,9.4,low
0.17,0.66,9.4,high
0.26,0.63,9.4,high
0.27,0.38,9.4,high
0.27,0.38,9.4,high
0.36,0.47,9.4,high
0.36,0.47,9.4,high
0.49,0.52,9.4,high
0.51,0.54,9.4,high
0.51,0.54,9.4,high
0.72,0.68,9.4,high
1,2,9.4,low
0.02,0.35,9.5,high
0.02,0.57,9.5,low
0.16,0.38,9.5,high
0.16,0.62,9.5,low
0.17,0.3,9.5,high
0.19,0.64,9.5,high
0.24,0.48,9.5,high
0.24,0.48,9.5,high
0.25,0.52,9.5,high
0.26,0.37,9.5,high
0.72,0.57,9.5,high
0.18,0.58,9.55,high
0,0.46,9.6,low
0,0.46,9.6,low
0.05,0.44,9.6,low
0.19,0.63,9.6,high
0.24,0.53,9.6,high
0.39,0.58,9.6,high
0.47,0.28,9.6,high
0.48,0.7,9.6,low
0.49,0.56,9.6,low
0.49,0.57,9.6,low
0,0.4,9.7,high
0,0.49,9.7,low
0.04,0.54,9.7,low
0.05,0.55,9.7,low
